Source,Format that we'll share in,Description,Tone,Caption,Credit,Meroka Twist,Platform to be shared,Link,Drive
Youtube,Reel,30 days of US Helathcare: Co-Insurance (Roleplay),"Sarcastic, satire",,@DGlaucomflecken,"Take away video, keep speech and turn it into a voice memo format (just like Doc UI)","X, Instagram",N/A,https://drive.google.com/file/d/1LKVCRZftcKNbDIezY7UhppRbHTMI7PH4/view?usp=drive_link
Youtube,Audio snippet,,,,,"Take away video, keep speech and turn it into a voice memo format (just like Doc UI)","X, Instagram",,
Youtube,Audio snippet,,,,,"Take away video, keep speech and turn it into a voice memo format (just like Doc UI)","X, Instagram",,
Spotify,Audio snippet,"She spoke out about health insurance. Now, this doctor says she could lose her business","News, exposing",,@Today Explained,"Take away video, keep speech and turn it into a voice memo format (just like Doc UI)","X, Instagram",https://open.spotify.com/episode/0ubzyKrUPk4HoOLnjjw7KX?si=8ffa0c2664714480,
Spotify,Audio snippet,"""We're all iin the hospice business"" - Dr. Oz
""There are not enough GPs in America. We probably need two to three times more just to keep up with Europe per capita."" (14:54)
This transcript is more about systemic fraud and policy than physician burnout, but it reinforces Meroka's narrative:

The system is broken at every level
Good people inside the system are silenced
Fraud steals from the patients who actually need care
Independent physicians trying to do the right thing are fighting a rigged game","News, discussion, rant",,"@All-In Chamath, Jason, Sacks & Friedberg","Take away video, keep speech and turn it into a voice memo format (just like Doc UI)","X, Instagram",https://open.spotify.com/episode/5aoDzFETytHaPJfSsobD6X?si=a20069cd22c24bd8,
Spotify,Audio snippet,,,,,"Take away video, keep speech and turn it into a voice memo format (just like Doc UI)","X, Instagram",,
Spotify,Audio snippet,,,,,"Take away video, keep speech and turn it into a voice memo format (just like Doc UI)","X, Instagram",,
X,Quote,"Everyone thought the implementation of electronic health records would be a massive upgrade in efficiency and productivity. 

Then we regulated it so that only cumbersome, outdated software was allowed in Medicare. We let incumbents write the rules regulating the market. They throttled competition and ensured we were left with crap that not only failed to deliver on the promise of technology but actually made the practice of medicine worse. It drove thousands of doctors into early retirement and transformed the art of medicine into the slog of data entry. 

So pardon me if I’m a little jaded about the promise of AI.",N/A,,@DrDiGiorgio,"Create bubble messages, making Doc interact with the X post (as if the poster would've interacted with Doc)","X, Instagram, LinkedIn",https://x.com/DrDiGiorgio/status/2014948602473279641,https://drive.google.com/file/d/1uVSYDM2MIfvW7yMLxz0bGb_YsanAaonI/view?usp=drive_link
X,Quote,Epic: slowing care one hard stop at a time.,N/A,,@DrDiGiorgio,"Create bubble messages, making Doc interact with the X post (as if the poster would've interacted with Doc)","X, Instagram, LinkedIn",https://x.com/DrDiGiorgio/status/2014559100529459359?s=20,https://drive.google.com/file/d/15I0nBiGssTfo1fErsprjLgDOrJYCco_R/view?usp=drive_link
X,Quote,"Because consolidation drives up prices. Independence practices such as ours continue to struggle while large “Non-Profit” health systems benefit from structural advantages such as 340b drug pricing, hospital outpatient departments … all while not paying taxes nor providing charity care. 

We accept Medicare and Medicaid and do not receive DSH payments, game payments nor 340b benefits … all while large hospital systems benefit from all of these government programs.",N/A,,@BrandonBealMD,"Create bubble messages, making Doc interact with the X post (as if the poster would've interacted with Doc)","X, Instagram, LinkedIn",https://x.com/BrandonBealMD/status/2014932039137480858?s=20,https://drive.google.com/file/d/1TxA3ICkBgCrEpdaYFYeExvHptJpUBdIj/view?usp=drive_link
X,Quote,"🚨 Insurance companies are now pressuring hospitals to remove physicians who won’t accept insurer-controlled contracts.

Not for quality.
Not for safety.

But for refusing unfair reimbursement terms.

That’s not “choice.”
That’s coercion.

Medicine cannot be open and accessible to everyone while third parties control whether or not your doctor can see you now.",N/A,,@LeahHoustonMD,"Create bubble messages, making Doc interact with the X post (as if the poster would've interacted with Doc)","X, Instagram, LinkedIn",https://x.com/LeahHoustonMD/status/2005287471270002804?s=20,https://drive.google.com/file/d/19Ndt-84d6DSatD-kh1Rg3Z196XGS1ERP/view?usp=drive_link
X,Quote,"The independent physicians are the ones seeing the uninsured patients and performing the emergency surgery. And unlike the nonprofit hospitals, we don’t get paid. Nothing happens in the emergency room without the physicians",N/A,,@realdocspeaks,"Create bubble messages, making Doc interact with the X post (as if the poster would've interacted with Doc)","X, Instagram, LinkedIn",https://x.com/realdocspeaks/status/2015042901424603602?s=20,https://drive.google.com/file/d/1NXH5nODQKRw_zsaYzRGvRnj6UgTQiEov/view?usp=drive_link
X,Quote,"Makes so much sense that the doctor should be serving the government and not the patient.
",N/A,,@MehnazHyderMD,"Create bubble messages, making Doc interact with the X post (as if the poster would've interacted with Doc)","X, Instagram, LinkedIn",https://x.com/MehnazHyderMD/status/2014536250863321301?s=20,https://drive.google.com/file/d/1EvTWROonzoTBAkpWG2inl9gzMIggUBQ5/view?usp=drive_link
X,Quote,"Doctors, no one is coming to save us, or our patients. Don’t expect the politicians, or our medical organizations to come to our rescue. It’s up to us! We surrendered our profession years ago to the suits, time to fight and take it back. Time to build our own system. Calling and emailing our reps hasnt worked, they are all compromised, persuaded only by money and lobbyists. 
We must:
1. Build more physician owned hospitals 
2. Align private practices together to negotiate insurances (health, malpractice, liability), purchasing(GPOS)
3. Form CINs(Clinically Integrated Networks)
4. Contract directly with employers
5. Expand DPC 
6. Pool knowledge and resources to support private practices
7. Form our own PAC and fund it to at least 50M then lobby on our behalf
8. Educate med students and residents",N/A,,@txsportsdoc,"Create bubble messages, making Doc interact with the X post (as if the poster would've interacted with Doc)","X, Instagram, LinkedIn",https://x.com/txsportsdoc/status/2012591814167961672?s=20,https://drive.google.com/file/d/1_Rx_XueiSXSmNhJNQJFycG_nz9Wt5_Hs/view?usp=drive_link
X,Quote,"It was an honor to be recognized at the 2025 Anti-Monopoy Summit in Washington, DC — alongside policymakers, small business owners, workers, and advocates — for speaking out about what’s at stake in healthcare today.

Independent physician practices are under attack by healthcare monopolies, and patients are paying the price. We cannot accept “insurance care” as the new normal. We must fight for a system where doctors have a voice, where care comes before profit, and where patients come first.",N/A,,@EPotterMD,"Create bubble messages, making Doc interact with the X post (as if the poster would've interacted with Doc)","X, Instagram, LinkedIn",https://x.com/EPotterMD/status/1970258890467233932?s=20,https://drive.google.com/file/d/1f8jxQd1UjW4v3BEyjzvtGWfS9zdVAKy_/view?usp=drive_link
X,Quote,"I’ve spent 10 years in the ER, fighting for patients at their most vulnerable.
Now, I’m fighting for doctors.

For thousands of years, the doctor-patient relationship was sacred.
In the U.S., it’s been hijacked—30+ years of corporate interests reshaping care for profit.

The consequences?
Burned-out doctors.
Frustrated patients.
Broken trust.

It's time we take it back.",N/A,,@LeahHoustonMD,"Create bubble messages, making Doc interact with the X post (as if the poster would've interacted with Doc)","X, Instagram, LinkedIn",https://x.com/LeahHoustonMD/status/1928059218830991698,https://drive.google.com/file/d/1eSAfuetgcoyL_Bc_oRasYVWS96U2u4ZW/view?usp=drive_link
X,Quote,"Medicine in this country is on life support — and it’s not because of patients or science. It’s because insurance companies and hospital executives have hijacked care. Paper-pushers with zero clinical training decide what can and cannot be prescribed, delaying or denying lifesaving treatments while hiding behind “policy” and “cost containment.” Meanwhile, politicians and corporate boards meddle in care, turning doctors into fearful employees who obey billing codes instead of fighting for the sick human being in front of them.",N/A,,@joevaron,"Create bubble messages, making Doc interact with the X post (as if the poster would've interacted with Doc)","X, Instagram, LinkedIn",https://x.com/joevaron/status/1972415017564749854?s=20,https://drive.google.com/file/d/1dzjQg8LkoBs6WqxDuy2HRgCpx5uQKwr9/view?usp=drive_link
X,Quote,"I am physically exhausted… not from caring for patients — that still fuels me every single day — but from fighting a system that seems built to crush doctors who actually want to heal. Endless bureaucracy. Red tape so thick it strangles common sense. People with no clinical experience are deciding what care is “allowed.” I finally understand why so many of my friends have left medicine. They didn’t stop caring; they couldn’t keep fighting a machine that puts paperwork over patients. We were trained to save lives, not to beg for approvals and defend every decision to a panel of strangers. Medicine is bleeding talent because the system rewards compliance rather than courage. Patients deserve better.",N/A,,@joevaron,"Create bubble messages, making Doc interact with the X post (as if the poster would've interacted with Doc)","X, Instagram, LinkedIn",https://x.com/joevaron/status/1973118158090444861?s=20,https://drive.google.com/file/d/1b-IWa0T94SM0D7igMlaX5oUwHKYps-mr/view?usp=drive_link
LinkedIn,Quote,"Physicians are not just good at practicing medicine, we are also very good about complaining. Complaining about hospital systems, health insurance companies, and the health system as a whole.

Are these complaints well founded? Of course they are! But simply complaining about it won't change much. It will just make the doctors' lounge more insufferable.

Should we lobby congress to get things change? Only if you want to achieve incremental change at a glacial pace in one of the most expensive ways possible.

Or, since physicians make the gears of the healthcare system run, we can simply stop participating in the games. Stop taking health insurance, stop working with large health systems. That is how real change actually happens.

If we don't have the creativity and risk taking ability to make it happen, it never will.",N/A,,"@Daniel Paull, M.D.","Interact directly with posts, lead to Doc",LinkedIn,https://www.linkedin.com/posts/easyorthopedics_healthcare-medicine-directcare-activity-7413982791887089664-4CGL?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFKLrhUBS1OFx3sA4m_PyfQVfXhEYPGZ6Yk,https://drive.google.com/file/d/1Xu41Gsapvv5oHevuSAH1Fd5D-dKGnq-X/view?usp=drive_link
LinkedIn,Quote,"Burnout” is a term I don’t personally identify with.
That’s not to say it doesn’t exist—it absolutely does, and not just in medicine.

Burnout is defined as a state of emotional, physical, and mental exhaustion caused by excessive, prolonged, and unmanaged workplace stress. It’s characterized by three key elements:
• overwhelming exhaustion
• growing cynicism or mental distance from one’s work
• a reduced sense of professional effectiveness",N/A,,"@Brian Cohen, MD","Interact directly with posts, lead to Doc",LinkedIn,https://www.linkedin.com/posts/brian-cohen-md-35b933a_doctorslife-physicianburnout-medicalburnout-activity-7420995713297281025-00Rh?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFKLrhUBS1OFx3sA4m_PyfQVfXhEYPGZ6Yk,https://drive.google.com/file/d/1PBjyGvql9t_tbTOVDoj_GEHVZG1CCLQi/view?usp=drive_link
LinkedIn,Quote,"“The system may be broken. But the practice of medicine is not.”
That’s the premise- and the promise- at the heart of a new series I’ll be publishing this year.

As I step down as President of IndeDocs, I’ve been reflecting on the biggest gap I see in medicine today:
➡️ Not clinical skill.
➡️ Not technology.
➡️ Not dedication.",N/A,,@Marcelo Hochman,"Interact directly with posts, lead to Doc",LinkedIn,https://www.linkedin.com/posts/drmarcelohochman_the-system-may-be-broken-but-the-practice-activity-7420110545678151681-xrRo?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFKLrhUBS1OFx3sA4m_PyfQVfXhEYPGZ6Yk,https://drive.google.com/file/d/1_JAFCeurGCCuatILKabl7rb4fnq6Ohx4/view?usp=drive_link
LinkedIn,Quote,"I sent this to the NY Times but they decided not to run the story
Subject: Systemic Non-Payment by Blue Cross Blue Shield Crippling NYC Medical Practices & Patient Care
Dear Editor,
I am writing to bring attention to a healthcare crisis. Blue Cross Blue Shield (BCBS) has not reimbursed medical practices for services rendered for over four years. This creates an untenable situation for providers and jeopardizes patient access to care.",N/A,,@Neofitos Stefanides,"Interact directly with posts, lead to Doc",LinkedIn,https://www.linkedin.com/posts/activity-7420855195577851905-0vxy?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFKLrhUBS1OFx3sA4m_PyfQVfXhEYPGZ6Yk,N/A TOO LONG BUT HAS A GOOD STORY
LinkedIn,Quote,"I have long supported independent physician practices. They are a critical component of a healthy marketplace. However we are being squeezed continuously by larger entities and you don’t need to be in healthcare to know that we are not in healthy marketplace anymore. 

Physician ownership has plummeted and yet there is more burnout than ever. I truly believe that this is directly correlated. 
",N/A,,@Tarang Patel,"Interact directly with posts, lead to Doc",LinkedIn,https://www.linkedin.com/posts/tarang-patel-005664139_i-have-long-supported-independent-physician-activity-7411058034774470656-4cft?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFKLrhUBS1OFx3sA4m_PyfQVfXhEYPGZ6Yk,https://drive.google.com/file/d/1YDJUXuw8HxUCpiisfmo0Ahpeh5FbvaJ-/view?usp=drive_link
LinkedIn,Quote,Medicine has transformed beyond recognition—and not for the better. The greatest threat to our profession today isn’t advancing science or complex cases. It’s the business of medicine. The suffocating bureaucracy. The relentless corporatization that makes it harder every day to walk into work with a genuine smile and deliver the uncompromising care patients deserve.,N/A,,@Brian Badman,"Interact directly with posts, lead to Doc",LinkedIn,https://www.linkedin.com/posts/brian-badman-45118637_medicine-healthcare-physicianburnout-activity-7417733017118494720-F6YU?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFKLrhUBS1OFx3sA4m_PyfQVfXhEYPGZ6Yk,N/A TOO LONG BUT HAS A GOOD STORY
LinkedIn,Quote,Pretty much explains our broken almost shatterred health care system. Unfortunately I don’t think it’s going to be fixed any time soon.,N/A,,@Steven Abelowitz MD FAAP,"Interact directly with posts, lead to Doc",LinkedIn,https://www.linkedin.com/posts/steven-abelowitz-md-faap-a5b0b01b_pretty-much-explains-our-broken-almost-shatterred-activity-7418474612138668032-Javq?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFKLrhUBS1OFx3sA4m_PyfQVfXhEYPGZ6Yk,https://drive.google.com/file/d/1YDJUXuw8HxUCpiisfmo0Ahpeh5FbvaJ-/view?usp=drive_link
News,Quote,"Traci said, ""Many of his treatments were denied. We had PET scans, we had CT scans denied. We had chemotherapy, we had radiation, we had certain medications that required prior-authorization, and were denied.""",N/A,,,,,https://www.cbsnews.com/news/state-of-denial-how-insurance-companies-impact-health-care-today/,
